year,name,points
2008,Super Aguri,0.0
2008,Toro Rosso,246.0
2008,Toyota,492.0
2008,Williams,301.0
2009,BMW Sauber,216.0
2009,Brawn,1752.0
2009,Ferrari,577.0
2009,Force India,73.0
2009,McLaren,514.0
2009,Red Bull,1280.0
2009,Renault,241.0
2009,Toro Rosso,83.0
2009,Toyota,596.0
2009,Williams,323.0
2010,Ferrari,3966.0
2010,Force India,791.0
2010,HRT,0.0
2010,Lotus,0.0
2010,McLaren,4705.0
2010,Mercedes,2260.0
2010,Red Bull,4734.0
2010,Renault,1708.0
2010,Sauber,311.0
2010,Toro Rosso,139.0
2010,Virgin,0.0
2010,Williams,576.0
2011,Ferrari,3546.0
2011,Force India,499.0
2011,HRT,0.0
2011,Lotus,0.0
2011,McLaren,4896.0
2011,Mercedes,1499.0
2011,Red Bull,6679.0
2011,Renault,1102.0
2011,Sauber,523.0
2011,Toro Rosso,384.0
2011,Virgin,0.0
2011,Williams,62.0
2012,Caterham,0.0
2012,Ferrari,3659.0
2012,Force India,1053.0
2012,HRT,0.0
2012,Lotus F1,3307.0
2012,Marussia,0.0
2012,McLaren,3890.0
2012,Mercedes,1834.0
2012,Red Bull,4785.0
2012,Sauber,1527.0
2012,Toro Rosso,227.0
2012,Williams,928.0
2013,Caterham,0.0
2013,Ferrari,3787.0
2013,Force India,971.0
2013,Lotus F1,3319.0
2013,Marussia,0.0
2013,McLaren,1072.0
2013,Mercedes,3712.0
2013,Red Bull,5538.0
2013,Sauber,368.0
2013,Toro Rosso,405.0
2013,Williams,18.0
2014,Caterham,0.0
2014,Ferrari,2314.0
2014,Force India,1680.0
2014,Lotus F1,122.0
2014,Marussia,28.0
2014,McLaren,1757.0
2014,Mercedes,6830.0
2014,Red Bull,3793.0
2014,Sauber,0.0
2014,Toro Rosso,328.0
2014,Williams,2439.0
2015,Ferrari,4457.0
2015,Force India,1010.0
2015,Lotus F1,737.0
2015,Manor Marussia,0.0
2015,McLaren,229.0
2015,Mercedes,7139.0
2015,Red Bull,1740.0
2015,Sauber,469.0
2015,Toro Rosso,613.0
2015,Williams,2796.0
2016,Ferrari,4566.0
2016,Force India,1665.0
2016,Haas F1 Team,522.0
2016,Manor Marussia,13.0
2016,McLaren,813.0
2016,Mercedes,8085.0
2016,Red Bull,4842.0
2016,Renault,121.0
2016,Sauber,4.0
2016,Toro Rosso,802.0
2016,Williams,1898.0
2017,Ferrari,5749.0
2017,Force India,1924.0
2017,Haas F1 Team,537.0
2017,McLaren,207.0
2017,Mercedes,6928.0
2017,Red Bull,3674.0
2017,Renault,538.0
2017,Sauber,77.0
2017,Toro Rosso,708.0
2017,Williams,868.0
