year,decade,digit,name,logo
2004,200X,4,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2005,200X,5,Renault,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/renault.png
2006,200X,6,Renault,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/renault.png
2007,200X,7,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2008,200X,8,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2009,200X,9,Brawn,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Brawn.png
2010,201X,0,Red Bull,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/oracle_red_bull.png
2011,201X,1,Red Bull,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/oracle_red_bull.png
2012,201X,2,Red Bull,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/oracle_red_bull.png
2013,201X,3,Red Bull,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/oracle_red_bull.png
2014,201X,4,Mercedes,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mercedes-benz.png
2015,201X,5,Mercedes,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mercedes-benz.png
2016,201X,6,Mercedes,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mercedes-benz.png
2017,201X,7,Mercedes,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mercedes-benz.png
