gp,year,fastestLapSec,winnerLapSec
"Hungarian Grand Prix, 2012",2012,84.1,85.7
"Belgian Grand Prix, 2012",2012,112.8,114.3
"Italian Grand Prix, 2012",2012,87.2,88.4
"Singapore Grand Prix, 2012",2012,111.0,112.1
"Japanese Grand Prix, 2012",2012,95.8,95.8
"Korean Grand Prix, 2012",2012,102.0,102.5
"Indian Grand Prix, 2012",2012,88.2,88.7
"Abu Dhabi Grand Prix, 2012",2012,104.0,104.5
"United States Grand Prix, 2012",2012,99.3,99.7
"Brazilian Grand Prix, 2012",2012,78.1,78.1
"Australian Grand Prix, 2013",2013,89.3,89.3
"Malaysian Grand Prix, 2013",2013,99.2,100.4
"Chinese Grand Prix, 2013",2013,96.8,99.5
"Bahrain Grand Prix, 2013",2013,97.0,97.0
"Spanish Grand Prix, 2013",2013,86.2,86.7
"Monaco Grand Prix, 2013",2013,76.6,78.3
"Canadian Grand Prix, 2013",2013,76.2,76.6
"British Grand Prix, 2013",2013,93.4,93.5
"German Grand Prix, 2013",2013,93.5,94.2
"Hungarian Grand Prix, 2013",2013,84.1,84.6
"Belgian Grand Prix, 2013",2013,110.8,110.8
"Italian Grand Prix, 2013",2013,85.8,87.2
"Singapore Grand Prix, 2013",2013,108.6,108.6
"Korean Grand Prix, 2013",2013,101.4,101.4
"Japanese Grand Prix, 2013",2013,94.6,95.3
"Indian Grand Prix, 2013",2013,87.7,88.1
"Abu Dhabi Grand Prix, 2013",2013,103.4,103.9
"United States Grand Prix, 2013",2013,99.9,99.9
"Brazilian Grand Prix, 2013",2013,75.4,75.6
"Australian Grand Prix, 2014",2014,92.5,92.5
"Malaysian Grand Prix, 2014",2014,103.1,103.1
"Bahrain Grand Prix, 2014",2014,97.0,97.1
"Chinese Grand Prix, 2014",2014,100.4,101.2
"Spanish Grand Prix, 2014",2014,88.9,89.5
"Monaco Grand Prix, 2014",2014,78.5,79.4
"Canadian Grand Prix, 2014",2014,78.5,78.6
"Austrian Grand Prix, 2014",2014,72.1,72.6
"British Grand Prix, 2014",2014,97.2,97.2
"German Grand Prix, 2014",2014,79.9,81.3
"Hungarian Grand Prix, 2014",2014,85.7,86.6
"Belgian Grand Prix, 2014",2014,110.5,113.0
"Italian Grand Prix, 2014",2014,88.0,88.0
"Singapore Grand Prix, 2014",2014,110.4,110.4
"Japanese Grand Prix, 2014",2014,111.6,111.6
"Russian Grand Prix, 2014",2014,100.9,101.6
"United States Grand Prix, 2014",2014,101.4,101.9
"Brazilian Grand Prix, 2014",2014,73.6,73.6
"Abu Dhabi Grand Prix, 2014",2014,104.5,105.6
"Monaco Grand Prix, 2015",2015,78.1,78.6
"Canadian Grand Prix, 2015",2015,77.0,77.5
"Bahrain Grand Prix, 2015",2015,96.3,97.9
"Spanish Grand Prix, 2015",2015,88.3,89.1
"Chinese Grand Prix, 2015",2015,102.2,102.2
"Australian Grand Prix, 2015",2015,90.9,90.9
"Malaysian Grand Prix, 2015",2015,102.1,103.6
"Austrian Grand Prix, 2015",2015,71.2,71.2
"British Grand Prix, 2015",2015,97.1,97.1
"Hungarian Grand Prix, 2015",2015,84.8,86.8
"Belgian Grand Prix, 2015",2015,112.4,112.5
"Italian Grand Prix, 2015",2015,86.7,86.7
"Singapore Grand Prix, 2015",2015,110.0,110.1
"Japanese Grand Prix, 2015",2015,96.1,96.1
"Russian Grand Prix, 2015",2015,100.1,100.6
"United States Grand Prix, 2015",2015,100.7,100.7
"Mexican Grand Prix, 2015",2015,80.5,80.5
"Brazilian Grand Prix, 2015",2015,74.8,75.0
"Abu Dhabi Grand Prix, 2015",2015,104.5,105.4
"Australian Grand Prix, 2016",2016,89.0,90.6
"Bahrain Grand Prix, 2016",2016,94.5,94.5
"Chinese Grand Prix, 2016",2016,99.8,100.4
"Russian Grand Prix, 2016",2016,99.1,99.1
"Spanish Grand Prix, 2016",2016,86.9,88.8
"Monaco Grand Prix, 2016",2016,77.9,77.9
"Canadian Grand Prix, 2016",2016,75.6,76.0
"European Grand Prix, 2016",2016,106.5,106.5
"Austrian Grand Prix, 2016",2016,68.4,68.4
"British Grand Prix, 2016",2016,95.5,95.8
"Hungarian Grand Prix, 2016",2016,83.1,83.8
"German Grand Prix, 2016",2016,78.4,78.7
"Belgian Grand Prix, 2016",2016,111.6,111.7
"Italian Grand Prix, 2016",2016,85.3,86.6
"Singapore Grand Prix, 2016",2016,107.2,110.3
"Malaysian Grand Prix, 2016",2016,96.4,97.4
"Japanese Grand Prix, 2016",2016,95.1,96.0
"United States Grand Prix, 2016",2016,99.9,102.4
"Mexican Grand Prix, 2016",2016,81.1,82.6
"Brazilian Grand Prix, 2016",2016,85.3,85.6
"Abu Dhabi Grand Prix, 2016",2016,103.7,105.1
"Australian Grand Prix, 2017",2017,86.5,86.6
"Chinese Grand Prix, 2017",2017,95.4,95.4
"Bahrain Grand Prix, 2017",2017,92.8,93.8
"Russian Grand Prix, 2017",2017,96.8,97.4
"Spanish Grand Prix, 2017",2017,83.6,83.6
"Monaco Grand Prix, 2017",2017,74.8,75.2
"Canadian Grand Prix, 2017",2017,74.6,74.6
"Azerbaijan Grand Prix, 2017",2017,103.4,104.9
"Austrian Grand Prix, 2017",2017,67.4,67.8
"British Grand Prix, 2017",2017,90.6,90.6
"Hungarian Grand Prix, 2017",2017,80.2,80.8
"Belgian Grand Prix, 2017",2017,106.6,106.6
"Italian Grand Prix, 2017",2017,83.4,83.5
"Singapore Grand Prix, 2017",2017,105.0,105.0
"Malaysian Grand Prix, 2017",2017,94.1,94.5
"Japanese Grand Prix, 2017",2017,93.1,93.8
"United States Grand Prix, 2017",2017,97.8,98.8
"Mexican Grand Prix, 2017",2017,78.8,78.9
"Brazilian Grand Prix, 2017",2017,71.0,72.5
"Abu Dhabi Grand Prix, 2017",2017,100.7,100.7
